${sku},${url},${unit},${order_by}
"10001085",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001085_bt_1200_1_2.jpg,BT,1
"10001085",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001085_bt_1200_1_2_1.jpg,BT,2
"10001088",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001088_bt_1200_1_2.jpg,BT,1
"10001088",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001088_bt_1200_1_2_1.jpg,BT,2
"10001089",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001089_gl_1200_1_2.jpg,GAL,1
"10001090",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001090_ea_1200_1_2.jpg,EA,1
"10001090",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001090_ea_1200_2_2.jpg,EA,2
"10001104",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001104_gl_1200_1_2.jpg,GAL,1
"10001133",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001133_bt_1200_1_2.jpg,BT,1
"10001133",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001133_bt_1200_1_2_1.jpg,BT,2
"10001161",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001161_gl_1200_1_2.jpg,GAL,1
"10001161",https://www.dohome.co.th/pub/media/catalog/product/l/i/lis_100000134_10001161_qr_1.jpg,GAL,3
"10001162",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001162_gl_1200_1_2.jpg,GAL,1
"10001165",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001165_gl_1200_1_2.jpg,GAL,1
"10001170",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001170_gl_1200_1_2.jpg,GAL,1
"10001170",https://www.dohome.co.th/pub/media/catalog/product/l/i/lis_100000134_10001170_qr_1.jpg,GAL,3
"10001179",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001179_bk_1200_1_2.jpg,GAL,1
"10001179",https://www.dohome.co.th/pub/media/catalog/product/l/i/lis_100000134_10001179_qr_1.jpg,GAL,3
"10001215",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001215_bk_1200_1_2.jpg,BK,1
"10001215",https://www.dohome.co.th/pub/media/catalog/product/l/i/lis_100000134_10001215_qr_1.jpg,BK,3
"10001239",https://www.dohome.co.th/pub/media/catalog/product/1/0/10001239_b_1200_1_2.jpg,DZ,1
